Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RD-3.75,Double-Family Residential Districts,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.17,Acres,15,Feet,8,Feet,15,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,35,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,15,Feet,8,Feet,15,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,35,Feet,,Alternatives,,Alternatives,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,12,Units per Acre,,Alternatives,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-1,"Multiple-Family Residential - 1,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,44,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,44,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,45,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-10,"Multiple-Family Residential - 10,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 2-Family,8,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 3-Family,4,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 4+-Family,4,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.23,Acres per PRD,4,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-1.25,"Multiple-Family Residential - 1,250 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,35,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,35,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,36,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-14.5,"Multiple-Family Residential - 14,500 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.33,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.66,Acres per 2-Family,6,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,4,Spaces per Unit,4,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.33,Acres per 3-Family,3,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.33,Acres per 4+-Family,,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.33,Acres per PRD,,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-15,"Multiple-Family Residential - 15,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.34,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.72,Acres per 2-Family,6,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,4,Spaces per Unit,4,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.34,Acres per 3-Family,3,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.34,Acres per 4+-Family,,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.34,Acres per PRD,,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-1.5,"Multiple-Family Residential - 1,500 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,4,Spaces per Unit,4,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,29,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,29,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,30,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-2,"Multiple-Family Residential - 2,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,22,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,22,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,22,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-20,"Multiple-Family Residential - 20,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.92,Acres per 2-Family,2,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 3-Family,2,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 4+-Family,2,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.46,Acres per PRD,2,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-2.5,"Multiple-Family Residential - 2,500 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,17,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,17,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,17,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-3,"Multiple-Family Residential - 3,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,15,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,15,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,14.5,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,RM-30,"Multiple-Family Residential - 30,000 square feet",2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.69,Acres,20,Feet,8,Feet,20,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,1.38,Acres per 2-Family,2,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.69,Acres per 3-Family,1,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.69,Acres per 4+-Family,1,Units per Acre,20,Feet,8,Feet,20,Feet,,Alternatives,,Alternatives,1.25,Spaces per Unit,1.25,Spaces per Unit,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.69,Acres per PRD,1.5,Units per Acre,,Alternatives,"In the City of Hilo, the height limit in the RM district shall be one hundred twenty feet; Side yards, eight feet for a one-story building, plus an additional two feet for each additional story; There may be more than one main building on any building site in the RM district; 
Distance between main buildings on the same building site in the RM district shall be at least fifteen feet.",
